"","Target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"240",13404,"Yes",1202,1054,326,18,44,1410,299,5160,450,1050,78,86,15.6,30,9114,65
"242",11000,"Yes",380,237,104,30,56,716,1108,5550,500,500,36,41,7.8,22,7483,96
"243",19700,"Yes",3140,1783,454,40,82,1646,24,5050,300,800,91,96,9.6,60,17761,91
"244",13252,"Yes",1006,825,328,34,73,1362,102,4194,450,550,89,93,13,33,10296,65
"247",8200,"Yes",1006,837,317,33,65,1024,15,3485,500,1200,84,84,10.6,26,9248,64
"248",6300,"Yes",467,424,350,16,40,1365,334,2980,700,2140,75,79,13.7,10,7054,38
"249",5504,"Yes",1721,1068,806,35,75,3128,213,3528,700,910,71,77,17.7,37,6466,73
"250",17480,"Yes",2083,1725,430,22,49,1464,67,4780,500,700,75,87,12.3,32,11625,73
"251",18485,"Yes",13865,2165,1606,90,100,6862,320,6410,500,1920,97,97,9.9,52,37219,100
"252",17230,"Yes",1377,572,178,95,100,654,5,6690,700,900,100,100,8.2,46,21569,100
"253",9376,"Yes",817,708,262,22,52,935,37,3272,500,1902,57,63,13,17,7335,52
"254",8800,"Yes",823,721,274,52,87,954,6,3195,500,1200,82,99,13.1,26,8588,63
"255",11090,"Yes",920,745,347,35,66,1133,42,4700,400,750,80,80,12,31,12639,79
"256",14067,"Yes",922,729,244,37,66,1000,275,4560,400,1000,75,95,10.6,34,12165,79
"257",19029,"Yes",2688,2081,500,25,53,1792,5,5841,600,600,99,99,12.1,37,13040,79
"258",11600,"Yes",7428,5860,1349,25,63,6534,1350,5920,1000,1000,81,90,13.9,10,10093,60
"259",13470,"Yes",602,498,215,26,58,795,74,5515,500,850,78,91,11.1,48,13957,72
"260",13960,"Yes",699,565,176,36,64,710,399,6040,450,690,82,88,14.4,34,12434,72
"261",12275,"Yes",1712,1483,624,37,69,2505,208,4341,465,1100,72,81,12.5,40,9284,72
"262",9990,"Yes",949,786,302,30,70,1210,26,3550,500,1500,85,90,15,24,8187,67
"263",8080,"Yes",608,520,127,26,47,538,126,3920,500,1100,63,72,11.4,9,7703,44
"264",9950,"Yes",450,430,125,20,46,488,43,3920,300,1300,76,76,11.8,25,9466,47
"265",7260,"Yes",600,197,124,3,9,392,69,3090,600,1840,31,35,12.9,4,9249,21
"266",7800,"Yes",723,652,361,10,30,951,706,4000,350,1500,36,44,22,4,4923,84
"267",10500,"Yes",607,558,269,22,47,1222,519,4348,650,1500,81,91,11.6,29,8324,75
"269",14550,"Yes",1756,1360,478,42,77,1911,626,4620,500,700,80,88,12.3,26,12851,56
"270",7799,"No",8681,6695,2408,10,35,15701,1823,3403,537,2605,77,84,21,16,5569,54
"271",14360,"Yes",3050,1342,471,55,86,1818,23,4090,400,650,77,92,12.9,34,9605,83
"273",8840,"Yes",1163,927,386,16,49,1685,556,4689,750,2775,67,69,11.4,21,6095,95
"274",6892,"No",5659,4761,3147,10,31,8596,1949,3706,600,2500,72,76,16.6,8,6996,40
"275",9766,"No",16587,13243,5873,25,72,24763,2717,3990,600,2000,77,88,21.3,24,8686,68
"277",10690,"Yes",4892,3530,913,13,33,3906,1446,6790,570,1150,66,83,16,14,8107,66
"278",7550,"No",8427,7424,3441,26,59,18676,1715,3224,640,2055,81,88,19.2,22,8420,65
"279",14424,"Yes",7259,5526,1368,23,52,5612,166,6192,634,1000,58,79,11.5,25,9812,75
"280",7994,"No",11223,5285,2082,32,72,9652,742,4544,500,732,77,81,17.9,29,5212,98
"281",7620,"Yes",472,410,262,14,41,9950,71,3050,400,400,51,53,17,21,3186,54
"282",3946,"No",2957,1423,691,10,30,3817,1394,4800,400,1500,63,67,14.9,10,8367,26
"283",6398,"Yes",605,405,284,24,53,961,99,3672,400,1350,68,68,13.3,19,8118,75
"284",11700,"Yes",2421,2109,820,27,57,3168,392,5550,600,450,89,90,14.5,28,7738,89
"286",7656,"No",833,669,279,3,13,1224,345,4690,500,624,80,91,14.4,15,6564,36
"288",14850,"Yes",1005,859,298,36,55,1075,43,4460,450,420,97,97,12.7,37,12067,80
"290",8400,"Yes",589,575,148,16,40,474,258,3250,500,1400,63,55,12.4,14,6535,68
"291",7870,"No",3121,2446,822,5,19,3480,776,4157,500,1150,73,73,16.1,13,6195,61
"292",8000,"Yes",584,497,175,20,49,662,121,4150,500,1300,57,65,11.3,32,7058,62
"293",19240,"Yes",2212,1538,408,44,75,1445,1,3690,750,480,95,95,11.1,46,14067,88
"294",9600,"Yes",461,381,174,10,43,738,55,4550,600,750,55,94,13.3,43,7863,51
"295",10910,"Yes",1456,1053,381,20,45,500,541,5160,400,1795,66,72,15.6,37,7649,87
"296",8664,"Yes",355,300,142,34,65,509,44,3350,600,3000,65,68,10.7,25,8954,65
"297",15747,"Yes",1040,845,286,48,77,967,24,4062,400,800,88,95,12.7,33,13224,79
"298",8842,"Yes",361,321,185,10,41,650,819,4782,600,1100,57,73,14.2,14,7022,52
"299",12600,"Yes",2929,1834,622,20,56,2738,1662,5610,450,3160,90,90,15.1,9,9084,84
"300",18730,"Yes",4010,2402,572,36,59,2018,226,5740,600,1000,93,96,10.5,38,15365,92
"302",16880,"Yes",979,638,271,31,70,968,20,3970,920,1320,91,94,10.7,19,15687,77
"303",9400,"Yes",497,452,231,24,47,887,1957,4005,500,1000,49,65,17.2,25,4054,57
"304",4752,"No",2336,1725,1043,10,27,5438,4058,3040,508,1463,48,82,18.4,12,5879,26
"305",5170,"Yes",831,538,224,15,35,840,325,3430,600,1590,61,61,16.1,10,5531,60
"306",4938,"No",1166,1009,510,9,33,2074,341,2987,528,1702,67,77,17,11,6119,51
"307",17163,"Yes",1243,947,324,50,77,1129,74,3891,525,975,76,92,10.1,57,13965,77
"308",11040,"Yes",1470,1199,425,21,76,1820,558,4840,400,900,89,92,13.3,28,8118,94
"309",13850,"Yes",1386,1060,320,28,56,965,502,4755,400,1125,84,84,12.3,30,8196,85
"310",18700,"Yes",6397,4304,1092,40,84,4298,132,5580,750,1130,96,99,12.5,43,14665,91
"311",10100,"Yes",979,743,259,25,46,1188,166,4000,400,1000,88,92,12,20,8539,66
"312",11700,"Yes",244,198,82,12,33,1134,336,5300,550,805,71,88,27.8,18,8694,58
"313",8840,"Yes",477,417,204,29,54,1532,77,4240,600,1400,58,70,20.8,23,6863,56
"314",15800,"Yes",2774,2092,482,35,64,1763,59,4790,450,950,97,98,12.3,21,12999,69
"315",10560,"Yes",1154,1050,395,12,31,2192,1423,4520,500,1200,36,48,14.3,10,7701,61
"316",5950,"Yes",787,562,363,21,55,925,605,2890,600,1300,67,72,14.6,35,5177,53
"317",4818,"No",1660,1091,326,15,41,1196,33,3400,350,1400,71,72,12.6,8,10912,45
"318",9200,"Yes",810,484,356,6,33,2155,191,4800,1000,4200,65,85,24.1,9,3480,100
"319",13380,"Yes",1561,1188,458,48,72,1548,840,4210,500,900,89,91,17.8,34,8747,81
"320",4400,"Yes",900,473,217,22,47,621,11,3400,800,900,53,93,10.4,16,9268,92
"321",7352,"No",3570,2215,651,17,41,3390,325,3620,225,500,47,55,16.1,14,6374,63
"323",11200,"Yes",1641,1283,527,20,39,1663,170,4000,500,1200,61,62,14.2,24,7578,70
"324",5150,"Yes",2013,1053,212,33,61,912,158,3036,500,1655,64,74,10.5,11,7547,59
"325",5925,"No",5996,4993,3079,29,57,16269,3757,2980,600,2242,83,87,15.9,11,6741,37
"326",3957,"No",2397,2144,1525,22,45,6720,1822,2325,618,1656,66,77,20,13,4546,45
"327",12990,"Yes",4076,3137,738,25,54,3010,184,6300,600,900,86,88,14.7,27,9448,80
"328",13592,"Yes",3768,2662,753,42,64,3558,436,5916,545,1328,84,88,14.2,10,11677,84
"329",11100,"Yes",1891,1698,719,24,80,2740,761,5870,600,750,77,88,11.7,14,9456,53
"331",13240,"Yes",1549,1392,587,38,72,2269,85,3560,600,400,73,85,13.8,38,8949,77
